transaction_id,amount,transaction_time,location,location_id,merchant_id,device_id,customer_age,num_prev_transactions,credit_score,is_fraud_detected,year,month,day
597,91.01928849387674,26474,2,339,1,5179,77,458,361,0,2023,11,16
669,46.77762365655502,81531,8,828,215,3798,29,-4,611,0,2023,1,12
601,8.142875747337044,39434,9,-9,491,5128,62,677,349,0,2023,9,21
99,13.862422909631512,50867,1,589,432,2832,24,785,600,0,2023,5,8
158,44.27665829284863,30739,3,375,444,2940,69,102,680,0,2023,2,20
405,17.274225200998842,54417,0,444,257,6822,36,197,348,0,2023,1,4
716,112.16577057673112,38194,8,508,203,5970,80,697,373,0,2023,6,29
131,8.883179963100494,7667,5,446,351,5807,46,637,348,0,2023,10,25
-49,45.50398487833941,12505,3,705,19,8317,88,712,431,0,2023,2,2
449,11.337267163097382,44459,1,470,9,1224,64,794,752,0,2023,12,7
239,21.015111326334434,77093,7,90,216,3150,49,161,358,0,2023,11,35
597,16.244079140634966,41231,2,852,169,881,40,439,598,0,2023,3,7
783,38.65721258509126,4526,6,646,409,4952,39,774,337,0,2023,7,20
123,6.727478477698252,36054,6,746,150,4436,75,889,792,0,2023,9,29
230,15.26124392855974,14282,9,237,259,6118,53,703,704,0,2023,4,31
245,23.78447438644743,677,0,434,330,667,51,155,336,0,2023,6,16
384,29.41915428145196,32032,3,669,80,1413,67,794,775,0,2023,4,13
169,69.73346044737421,-2862,5,642,439,5304,33,59,436,0,2023,10,10
642,13.875579456607625,9735,2,364,403,6176,62,510,621,0,2023,8,18
405,14.441585490092649,55011,5,618,95,6753,34,402,359,0,2023,4,6
150,62.53948534380626,27218,5,610,348,8522,38,579,325,0,2023,1,28
519,15.61800395260039,62799,7,799,11,7573,74,80,338,0,2023,11,7
37,13.418344015589215,9201,8,480,135,3238,84,78,445,0,2023,4,19
784,6.752624420971596,32765,3,-8,434,4574,20,746,596,0,2023,2,4
840,23.544628253269526,72125,5,75,225,5973,54,168,778,0,2023,1,13
453,73.68243882804225,21813,2,186,190,8521,39,409,627,0,2023,4,23
188,43.82757718089878,7939,4,828,75,9414,82,996,490,0,2023,13,33
-69,53.11929231946736,18399,5,324,200,8762,28,906,548,0,2023,2,29
778,11.027003350924378,87321,6,842,467,6621,52,851,811,0,2023,9,24
139,18.711166579055266,15210,1,123,288,3123,95,712,613,0,2023,12,32
159,30.693045887292744,60839,4,282,48,6738,27,830,361,0,2023,9,14
