transaction_id,amount,transaction_time,location_id,merchant_id,device_id,customer_age,customer_gender,transaction_category,num_prev_transactions,credit_score,fraud
198,20.31276631274556,17477,48,134,4252,39,M,Electronics,664,785,0
374,47.34425003364251,21784,16,313,4385,54,F,Clothing,459,290,0
956,35.03583286454875,65124,949,388,4178,50,M,Restaurant,566,575,0
779,31.793747158477466,72945,325,459,9518,35,F,Clothing,824,615,0
164,9.156037652378668,10778,284,315,7292,61,F,Clothing,535,760,0
688,8.155554471969882,5598,10,475,4252,39,F,Grocery,85,656,0
261,3.8001324917508974,45980,87,12,9276,18,M,Grocery,952,695,0
704,5.376652888172362,69807,559,75,9571,39,M,Grocery,712,730,0
389,15.665574199758783,28607,554,397,8343,35,M,Fuel,806,549,0
31,12.543963667137014,30648,183,252,4060,41,M,Restaurant,866,615,0
89,9.591308673955384,51864,273,193,3646,73,F,Electronics,610,650,0
342,16.19378983744908,39836,494,217,2855,37,M,Fuel,867,392,0
99,40.060812219246316,13010,286,198,4940,54,M,Electronics,699,445,1
81,10.470561522840274,48283,840,359,923,43,F,Electronics,809,606,0
271,-1.9830222529761254,62441,852,59,1518,39,M,Clothing,802,279,0
566,23.472299557529283,14411,550,499,5669,45,F,Electronics,524,318,0
462,102.81413744828228,8043,441,205,5040,63,F,Grocery,158,331,0
731,167.5169944476144,30270,949,452,4199,61,F,Clothing,565,648,0
129,2.065387767760452,74251,240,119,8040,44,M,Restaurant,975,597,0
5,9.798666782310786,67285,974,247,4971,23,F,Fuel,854,729,0
490,11.514124973027148,1804,485,198,1547,76,F,Electronics,611,544,0
617,27.40306087210362,65948,27,499,4483,77,M,Grocery,681,505,0
414,11.206195362177702,56724,451,210,4501,57,M,Fuel,847,558,0
341,40.36943538641284,71870,414,119,7851,66,M,Fuel,347,505,0
356,5.1550465271652,77835,83,24,366,55,M,Grocery,710,348,0
286,6.201667516703444,15648,201,389,8663,75,M,Clothing,733,385,0
201,10.316487765836719,63779,576,313,3407,58,M,Grocery,341,837,1
310,10.667268951996139,82223,943,337,9344,26,M,Grocery,888,535,0
103,18.34952997667632,69190,791,318,5751,27,F,Electronics,697,357,0
457,0.9392359542479554,80688,986,474,1547,84,M,Grocery,88,399,0
501,67.09152172055803,85457,22,489,9449,45,M,Restaurant,560,430,0
488,1.5200081393844727,14670,262,412,3559,38,F,Grocery,58,440,0
150,5.5840629550353915,79107,725,372,1450,70,M,Restaurant,768,422,0
281,3.1824078412188275,23448,281,141,4237,63,M,Restaurant,589,368,0
518,5.110062651514548,82160,286,318,6775,64,M,Clothing,861,425,1
235,5.17585555876468,72689,845,256,7283,49,F,Grocery,973,704,0
128,13.420809577093179,32155,676,481,8236,60,M,Grocery,891,727,0
344,22.920719505638314,83168,877,233,5711,48,F,Clothing,920,682,0
-2,-5.556165427432262,51790,508,41,3344,30,M,Restaurant,910,679,0
360,27.227956080756098,25088,283,99,6764,22,M,Fuel,801,330,0
449,13.029530347558667,82051,210,385,962,52,F,Electronics,704,323,0
788,28.689728153164584,73493,83,22,2973,37,M,Restaurant,384,428,0
855,31.92509025506102,45553,769,354,2916,89,M,Clothing,592,550,0
770,21.056071269003226,34109,91,228,3701,53,M,Grocery,122,775,0
195,17.40459460814012,16124,432,53,5245,48,M,Clothing,55,710,0
525,-1.5804968467627507,65126,126,411,1994,28,M,Grocery,874,267,0
891,45.55726114498232,18906,485,74,9307,32,F,Fuel,171,747,0
65,37.690190579773464,50047,183,171,9537,37,F,Clothing,916,430,0
84,15.479690558595713,45401,833,312,1505,30,F,Clothing,86,518,0
155,3.170905073282073,78729,476,432,9105,18,M,Grocery,760,485,0
180,12.273711363820084,4991,734,283,1030,61,M,Fuel,278,509,0
142,6.706515222810587,19798,582,331,1630,43,M,Grocery,572,453,0
93,4.785516055756034,78886,958,30,7659,36,M,Clothing,160,245,0
152,12.707949224753829,-905,191,235,9879,74,M,Clothing,544,859,0
513,9.68172935557426,26935,127,104,7410,47,F,Electronics,588,733,0
281,16.564750996228078,19775,420,343,2736,34,M,Restaurant,110,723,0
431,6.670159107178353,69109,614,188,6798,75,M,Grocery,232,745,0
466,4.241809360828265,50351,164,2,8961,29,F,Clothing,703,288,0
771,1.2505561536685281,82260,307,203,3506,81,M,Clothing,937,738,0
606,9.923731478617057,969,118,388,6315,65,F,Electronics,790,831,0
502,7.446741794782217,71724,196,357,6321,31,M,Grocery,881,518,0
872,4.472230388076634,26365,819,12,530,50,F,Grocery,134,489,0
539,6.39527192446166,67746,659,446,6056,20,M,Clothing,200,668,0
741,14.971988291889607,44806,174,69,573,62,M,Clothing,341,413,0
355,25.599001163107822,34166,234,413,1921,23,F,Clothing,450,369,0
508,9.963295980688084,60332,97,260,7125,32,M,Electronics,270,352,0
129,71.38995947106088,81928,769,358,9222,21,F,Fuel,412,826,0
630,16.144565999450602,9756,440,53,4568,40,M,Electronics,164,822,1
583,5.326477975420708,18352,691,439,6798,86,M,Clothing,797,369,0
869,75.3075039165468,67188,329,492,9472,89,F,Restaurant,454,597,0
